" Print Invoice","Imprimir Factura"
"%s was added to your shopping cart.","%s esta en su carrito de compras."
"%s was updated in your shopping cart.","%s fue actualizado en su carrito de compras."
"-- Please Select Rule --","- Seleccione Regla -"
"--Please Select--","--Por favor seleccione--"
"Auto save address and update Sections","Auto guardar direccion y actualizacion de las Secciones"
"For Customers that have shipping address different from billing address","Para los clientes que tienen la direccion de envio distinta a la direccion de facturacion"
"Please enter giftwrap fee.","Introduzca tarifa giftwrap."
"Account Information","Informacion de la cuenta"
"Action","Accion"
"Add Item","Anadir articulo"
"Add a gift message to my order","Anadir un mensaje de regalo a mi pedido"
"Add label","Anadir etiqueta"
"Address","Direccion"
"Address fields trigger updating Sections","Campos de direccion desencadenan actualizacion Secciones"
"All Allowed Payments","Todos los pagos de animales"
"Allow Everything","Permitir Todo"
"Answer: ","Responder:"
"Applicable payments","Pagos aplicables"
"Apply","Aplicar"
"Apply Coupon","Aplicar cupon"
"Apply Rule","Aplicar la regla"
"Are you sure?","¿Estas seguro?"
"Auto update Cart following changes in Email Address","Auto actualizacion de la compra despues de los cambios en la direccion de correo electronico"
"Auto update Sections","Actualizacion automatica Secciones"
"Auto update Sections following changes in Address","Actualizacion automatica secciones siguientes cambios en la Direccion"
"BILLING ADDRESS","DIRECCION DE ENVIO"
"Bill To Name","Nombre Bill Para"
"Billing Address","Direccion de Envio"
"Black","Negro"
"Blue","Azul"
"CSV","CSV"
"Cancel Coupon","Cancelar Cupon"
"Cannot add item to shopping cart!","No se puede anadir el articulo a la cesta de la compra!"
"Cannot apply the coupon code.","No se puede aplicar el codigo de descuento."
"Cannot configure product.","No se puede configurar el producto."
"Cannot remove the item.","No se puede eliminar el elemento."
"Cannot update shopping cart.","No se puede actualizar carrito de compras."
"Cannot update the item.","No se puede actualizar el articulo."
"Card Verification Number","Numero de verificacion de tarjeta"
"Card Verification Number Visual Reference","Tarjeta del numero de Verificacion de Referencia Visual"
"Cash in","Dinero en efectivo en"
"Change","Cambiar"
"Change status","Cambiar Estado"
"Checkout Success!","Pedido exito!"
"Checkout page layout","Diseno de la pagina Pedido"
"Choose how many points to spend","Elija la cantidad de puntos para gastar"
"Choose ways to spend points","Elija maneras de gastar puntos"
"City","Ciudad"
"Click here to swipe","Haga clic aqui para deslizar"
"Close","Cerca"
"Comment","Comentario"
"Comments","Comentarios"
"Company","Compania"
"Content","Contenido"
"Continue Shopping","Seguir comprando"
"Country","Pais"
"Coupon code ","Codigo promocional"
"Coupon code was canceled.","Fue cancelado Codigo de descuento."
"Coupon code:","Codigo promocional:"
"Create an account for later use","Crear una cuenta para su uso posterior"
"Credit Card Number","Numero de Tarjeta de Credito"
"Credit Card Type","Tipo de tarjeta de credito"
"Customer","Cliente"
"Customer Comment","Comentario del cliente"
"Customer Group","Grupo de Clientes"
"Customer Name","Nombre del cliente"
"Customer need to earn more ","Necesita al Cliente para ganar mas"
"Customer will spend","Cliente gastara"
"DD","DD"
"Dark Blue","Azul oscuro"
"Date","Fecha"
"Date of Birth","Fecha de cumpleanos"
"Date: %s","Fecha: %s"
"Day","Dia"
"Delete","Borrar"
"Delete Item","Eliminar elemento"
"Disabled","Discapacitado"
"Discount","Descuento"
"Discount Amount","Importe de descuento"
"Each %s get %s discount","Cada descuento% s% s get"
"Earning %s for this item","Ganar% s por este concepto"
"Edit","Editar"
"Edit Item ","Editar elemento"
"Edit Rule","Editar regla"
"Edit item parameters","Parametros Editar elemento"
"Email","Email"
"Email Address","Direccion de correo electronico"
"Email is already registered.","Correo electronico ya esta registrada."
"Enable","Habilitar"
"Enable Other" field"","Habilitar Otro "campo""
"Enable Gift message","Habilitar mensaje de regalo"
"Enable Gift wrap","Habilitar envoltura de regalos"
"Enable Spending Points","Activar Puntos de Gastos"
"Enable Web POS","Habilitar POS Web"
"Enable shipping to different address","Habilitar el envio a una direccion diferente"
"Enable updating payment method","Habilitar la actualizacion de metodo de pago"
"Enabled","Activado"
"Existing Customer","Cliente existente"
"Expiration Date","Fecha de caducidad"
"Fax","Fax"
"Field Position Management","La posicion del Manejo"
"File","Archivo"
"First Name","Nombre de pila"
"From","De"
"From Name: ","Desde nombre:"
"Gender","Genero"
"General Configuration","Configuracion general"
"Gift Message","Mensaje Regalo"
"Gift Wrap","Papel de regalo"
"Gift message Configuration","Mensaje de configuracion Regalo"
"Gift wrap","Papel de regalo"
"Giftcard","Tarjeta de regalo"
"Giftwrap","Papel de regalo"
"Giftwrap Configuration","Configuracion Giftwrap"
"Giftwrap Fee","Cuota Giftwrap"
"Giftwrap Image","Giftwrap Imagen"
"Giftwrap Style","Giftwrap Estilo"
"Giftwrap Type","Tipo Papel De Regalo"
"Global Record Search","Global Registro Buscar"
"Green","Verde"
"Guest Checkout","Invitado Pedido"
"ID","Identificacion"
"If enabled users can type free text and other value will be added to dropdown","Si los usuarios habilitados pueden escribir texto libre y otro valor se anadira a desplegables"
"Incl. Tax","Incl. Impuesto"
"Invalid data.","Datos no validos."
"Invalid shipping method.","Metodo de envio no valido."
"Invoice # ","Factura #"
"Invoice #%s","Factura #%s"
"Issue Number","Numero de emision"
"Item #","Articulo #"
"Item Content","Contenido del articulo"
"Item Information","Informacion del articulo"
"Item Manager","Administracion de elementos"
"Item Status","Estado del articulo"
"Item information","Elemento de informacion"
"Item was removed successfully.","El articulo fue eliminado correctamente."
"Items Ordered","Articulos ordenados"
"Label","Etiqueta"
"Last Name","Apellido"
"Loading","Cargando"
"Loading payment method...","Cargando metodo de pago ..."
"Loading total","Carga total"
"Loading...","Cargando..."
"Log Out","Cerrar sesion"
"MM","MM"
"Magestore Extension","Magestore Extension"
"Maximize my discount with points","Maximizar mi descuento con puntos"
"Maximum points allowed to spend for an order is %s","Puntos maximos permitidos para pasar una orden es% s"
"Message","Mensaje"
"Message: ","Mensaje:"
"Middle Name","Segundo nombre"
"Month","Mes"
"More ways to spend points","Mas formas de gastar puntos"
"Move","Movimiento"
"Move to Wishlist","Mover a la lista de deseos"
"Name on Card","Nombre en la tarjeta"
"Name/Product SKU","Nombre / SKU Producto"
"Newsletter checkbox checked by default","Boletin casilla marcada por defecto"
"No Image","Sin imagen"
"No Point","No Point"
"No orders found","No hay pedidos encontrados"
"No shipping information available","No hay informacion disponible envio"
"Not enough points to use the full catalog rule.","No hay suficientes puntos para utilizar la regla catalogo completo."
"Null","Nulo"
"Number of rows in Order List","Numero de filas en la Lista de Pedidos"
"ORDER REVIEW","REVISION DEL PEDIDO"
"Orange","Naranja"
"Order #","Orden #"
"Order # %s","Orden #%s"
"Order #%s","Orden #%s"
"Order Date","Fecha de orden"
"Order Date: %s","Fecha Orden:%s"
"Order ID","Identificacion de la Orden"
"Order Status","Estado del pedido"
"Order Totals","Totales Solicitar"
"Order list Management","Gestion de la lista de orden"
"Order was placed using %s","Orden fue realizada usando %s"
"Original Price","Precio original"
"Other","Otro"
"PAYMENT METHOD","METODO DE PAGO"
"Packingslip # ","Packingslip #"
"Payment Information","Informacion del pago"
"Payment Method","Metodo de pago"
"Payment for POS","El pago de POS"
"Per Item","Por articulo"
"Per Order","Por pedido"
"Personal Message","Mensaje personal"
"Phone/Email/Name","Telefono / Correo electronico / Nombre"
"Pink","Rosa"
"Place Order","Realizar pedido"
"Place order now","Realizar orden ahora"
"Please Select a Store","Seleccione una tienda"
"Please choose","Por favor escoja"
"Please click","Por favor haz click"
"Please enter coupon code.","Por favor introduzca el codigo de cupon"
"Please select region"," Estado o Provincia"
"Please specify:","Por favor especifica:"
"Please wait"," el procesamiento de su pedido ..."
"Points","Puntos"
"Points Spent","Puntos Pase"
"Prefix","Prefijo"
"Prefix Name","Nombre Prefijo"
"Price","Precio"
"Price: ","Precio:"
"Product","Producto"
"Product Name","Nombre de producto"
"Product is not loaded","El producto no se carga"
"Product not found!","Producto no encontrado!"
"Products","Productos"
"Purchased From","Comprado de"
"Qty","Cantidad"
"Quote item is not found.","Cita elemento no se encuentra."
"Red","Rojo"
"Refreshing points"," Por favor, espera"
"Reload Sections","Actualizar Secciones"
"Remove Rule","Retire la Regla"
"Remove item","Remover el articulo"
"Required Field Management","Gestion Campo Obligatorio"
"Return to Admin","Vuelva a Admin"
"Reward Points Configuration","Puntos de recompensa de configuracion"
"Row Total","Fila total"
"Rule not found","Regla no encontrado"
"SHIPPING ADDRESS","DIRECCION DE ENVIO"
"SHIPPING METHOD","METODO DE ENVIO"
"SKU","SKU"
"Sales Order Print View","Orden de Venta Imprimir"
"Save And Continue Edit","Guardar y continuar Editar"
"Save Item","Guardar Articulo"
"Save in address book","Guardar en la libreta de direcciones"
"Search","Buscar"
"See price before order confirmation.","Ver precio antes de la confirmacion del pedido."
"Select Rule","Seleccione la regla"
"Ship To Name","Enviar al nombre"
"Ship to different address","Nave a diversa direccion"
"Shipped","Enviado"
"Shipping Address","Direccion de envio"
"Shipping Method","Metodo de envio"
"Shopping Cart","Carrito de compras"
"Shopping Cart is Empty! Please add product to cart!","¡Carro de compras esta vacio! Por favor, anada el producto a la cesta!"
"Show discount code section","Mostrar seccion de codigos de descuento"
"Show newsletter checkbox","Mostrar boletin casilla"
"Show notification when check email address","Mostrar una notificacion cuando la direccion de correo electronico de verificacion"
"Sign Up for Our Newsletter","Suscribase a Nuestro Boletin"
"Sorry"," sin comillas estan disponibles para este fin en este momento."
"Specific Payments","Los pagos especificos"
"Specific payments","Pagos especificos"
"Spend %s","Gastado %s"
"Spend Points","Puntos Gastados"
"Spend Points for ","Puntos gastados en"
"Staff: %s","Personal: %s"
"Start Date","Fecha de inicio"
"State/Province","Estado / Provincia"
"Status","Estado"
"Status: %s","Estado: %s"
"Street Address","Direccion"
"Street Address ","Direccion"
"Style Management","Gestion Estilo"
"Subtotal","Total parcial"
"Suffix","Sufijo"
"Suffix Name","Nombre Sufijo"
"Survey Configuration","Configuracion Encuesta"
"Survey Information","Informacion Encuesta"
"Survey Question :","Encuesta Pregunta:"
"Survey question","Pregunta de la encuesta"
"Swiper","Swiper"
"Switch/Solo/Maestro Only","Solo Switch / Solo / Maestro"
"Tax","Impuesto"
"Tax Amount","Importe del impuesto"
"Tax Percent","Porcentaje de Impuestos"
"Tax/VAT number","Impuestos / CIF"
"Telephone","Telefono"
"The rule has been successfully removed.","La regla se ha eliminado con exito."
"This customer need to earn more","Este cliente necesita para ganar mas"
"Title","Titulo"
"To","Para"
"To Name: ","Nombrar:"
"Total","Total"
"Total Due","Total de Gracias"
"Total Paid","Total pagado"
"Total Refunded","Total reembolsado"
"Total Tax","Impuesto Total"
"Total incl. tax","Incl total. impuesto"
"Unable to set Payment Method.","No se puede establecer el metodo de pago."
"Unit Price","Precio unitario"
"Unsupported type.","Tipo no compatible."
"Update Shopping Cart","Actualizacion de Compras"
"Use Your Points","Use su Puntos"
"Valid Email Address","Direccion de e-mail valida"
"Values","Valores"
"Values entered here will appear as labels in feedback dropdown on checkout page","Los valores introducidos aqui apareceran como etiquetas en votaciones desplegable en la pagina de pago"
"View Order","Ver pedido"
"Violet","Violeta"
"Web POS","POS Web"
"Web Pos","Pos Web"
"What","Que"
"What is this?","¿Que es esto?"
"With %s","Con %s"
"X","X"
"XML","XML"
"YYYY","AAAA"
"Year","Ano"
"You need select a customer to redeem point on this product","Es necesario seleccionar un cliente para redimir a punto para este producto"
"Your credit card will be charged for","Su tarjeta de credito sera cargada por"
"Zip/Postal Code","Postal / Codigo Postal"
"Zoom In","Acercar"
"Zoom Out","Disminuir el zoom"
"and get %s off","y obtener %s de descuento"
"here","Aqui"
"login","iniciar sesion"
"off","apagado"
"to learn about it.","para aprender acerca de el."
"to redeem your points on this product","para canjear sus puntos para este producto"
"with","con"
"Go to Web POS settings","Ir a la configuracion de punto de venta Web"
"CANCEL ORDER","CANCELAR ORDEN"
"EMPTY CART","Carrito vacio"
"Search","Buscar"
"Order List","Lista de Pedidos"
"Order ID","Identificacion de la Orden"
"Customer's name / email","Nombre del cliente / email"
"Place order now","Realizar orden ahora"
"BILLING ADDRESS","DIRECCION DE ENVIO"
"SHIPPING METHOD","METODO DE ENVIO"
"PAYMENT METHOD","METODO DE PAGO"
"ORDER REVIEW","REVISION DEL PEDIDO"
"Cash in","Dinero en efectivo en"
"Change","Cambiar"
"Add Products to Cart","Anadir Productos a la Cesta"
"Search products by name/SKU","Buscar productos por nombre / SKU"
