"#Sales/#Orders","#Sales/#Orders"
"10px","10px"
"ADDITIONAL SALES COMMISSION","COMISIONES ADICIONALES"
"Add Level","Agragar un Nivel"
"Add monthly commission","Agregar comisiones mensuales"
"Add yearly commission","Agregar comisiones anuales"
"Additional","Adicional"
"Additional Commission","Comisiones Adicionales"
"Additional Sales Commission","Comisiones adicionales por venta"
"Additional commission based on","Comisiones adicionales basado en"
"Additional commission received","Comisiones adicionales recibidas"
"Additional commission type","Tipos de comisiones adicionales"
"Commission","Comision"
"Disabled","Desabilitado"
"Display information on Welcome page","Mostrar informacion en la pagina de bienvenida"
"Enabled","Habilitado"
"Fixed","Fijo"
"Monthly additional commission","Comisiones adicionales mensuales"
"Monthly/ Yearly Commission","Comisiones Mensuales/Anuales"
"Total Orders","Total de Ordenes"
"Total Sales","Total de Ventas"
"Yearly additional commission","Comision adicional anual"
