"%s","%s"
"API Password","API contrasena"
"API Signature","Firma API"
"API Username","API Nombre de usuario"
"API/MQI Password","API / MQI contrasena"
"Acc Number: %s","Numero de Cuenta: %s"
"Account Information","Informacion de la cuenta"
"Account Settings","Configuraciones de la cuenta"
"Account: %s","Cuenta: %s"
"Active","Activo"
"Address","Direccion"
"Admin Email","Administrador de Correo"
"Admin Message","Mensaje de administracion"
"Affiliate Plus Payment Method","Afiliado Plus Forma de pago"
"Allow Everything","Permitir Todo"
"Amount","Cantidad"
"Auto complete Withdrawal","Auto retirada completa"
"Back","Atras"
"Bank Account","Cuenta bancaria"
"Bank Address: %s","Direccion del banco: %s"
"Bank SWIFT code","Codigo bancario SWIFT"
"Bank Statement","Extracto bancario"
"Bank Transfer Payment","Transferencia bancaria Pago"
"Bank Transfer Payment Method","Banco Metodo de transferencia de Pago"
"Bank account name","Nombre de la cuenta bancaria"
"Bank account name is empty.","Nombre de la cuenta bancaria esta vacia."
"Bank account number","Numero de cuenta bancaria"
"Bank account number is empty.","Numero de cuenta bancaria esta vacia."
"Bank address","Direccion Bancaria"
"Bank name","Nombre del banco"
"Bank name is empty.","Nombre del banco esta vacia."
"Bank routing code","Codigo de enrutamiento del Banco"
"Bank: %s","Bancos"
"Can not connect to Moneybooker server at this time","No se puede conectar al servidor Moneybooker en este momento"
"Cancel","Cancelar"
"Canceled","Cancelado"
"Change Password","Cambiar la contrasena"
"City","Ciudad"
"Completed","Terminado"
"Complete","Completo"
"Confirm","Confirmar"
"Confirm New Password","Confirmar nueva contrasena"
"Confirm Request","Confirmar peticion"
"Content of notification email","Contenido del correo electronico de notificacion"
"Country","Pais"
"Current Password","Contrasena actual"
"Custom Period","Periodo personalizada"
"Custom payout days","Dia de pago personalizado"
"Email","Email"
"Email template sent to Admins","Plantilla de correo electronico enviado a Administradores"
"Email template sent to Affiliate","Plantilla de correo electronico enviado al Afiliado"
"Email template sent to admin when withdrawal by recurring","Plantilla de correo electronico enviado al administrador cuando la retirada por recurrentes"
"Email template sent to affiliate when withdrawal by recurring","Plantilla de correo electronico enviado al afiliado cuando la retirada por recurrentes"
"Email: ","Email:"
"Enable Recurring Payment","Habilitar Pago periodico"
"Fax","Fax"
"Fee","Cuota"
"Fee Value","Valor Cuota"
"Fee: ","Cargo:"
"First Name","Nombre de pila"
"Invoice Address","Direccion de facturacion"
"Invoice Number","Numero de factura"
"Is Recurring","Es recurrente"
"Is Recurring Payment","Es recurrente Pago"
"Label","Etiqueta"
"Last Name","Apellido"
"Maximum accounts","Cuentas maximas"
"Maximum accounts can receive payout per cron. Put 0 for unlimited accounts.","Cuentas maximas pueden recibir pagos por cron. Ponga 0 para cuentas ilimitadas."
"Message","Mensaje"
"Method: ","Metodo:"
"The minimum balance required to request withdrawal is %s","El saldo minimo requerido para solicitar la retirada es% s"
"Moneybooker","Moneybooker"
"Moneybooker Email","Moneybooker Email"
"Moneybooker Payment","Moneybooker Pago"
"Moneybooker Payment Method","Moneybooker Forma de pago"
"Moneybooker: Check in your account profile that the API is enabled and you are posting your requests from the IP address specified","Moneybooker: Llegada perfil de su cuenta que la API esta habilitada y envias tus solicitudes de la direccion IP especificada"
"Moneybooker: Email address and/or API/MQI password are incorrect, please check your  configuration","Moneybooker: Direccion de correo electronico y / o API / contrasena MQI son incorrectos, por favor revise su configuracion"
"Moneybooker: Email address and/or password were not provided","Moneybooker: no se proporcionaron direccion y / o la contrasena por correo electronico"
"Moneybooker: Sending amount exceeds account balance.","Moneybooker: Envio cantidad excede saldo de la cuenta."
"Moneybooker: This account is currently locked.","Moneybooker: Esta cuenta esta bloqueada."
"Moneybooker: This email is invalid.","Moneybooker: Este correo electronico no es valida."
