"Item information","Informacion del articulo"
"Title","Titulo"
"File","Archivo"
"Status","Estado"
"Content","Contenido"
"Item Information","Informacion del articulo"
"Save Item","Guardar Articulo"
"Delete Item","Eliminar articulo"
"Save And Continue Edit","Guardar y continuar Editar"
"Edit Item '%s","Editar elemento '%s"
"Add Item","Anadir articulo"
"ID","ID"
"Item Content","Contenido del articulo"
"Action","Accion"
"Edit","Editar"
"CSV","CSV"
"XML","XML"
"Delete","Borrar"
"Are you sure?","¿Estas seguro?"
"Change status","Cambiar Estado"
"Item Manager","Administracion de Articulo"
"Items Manager","Administrador de Articulos"
"Inventory","Inventario"
"Dashboard","Dashboard"
"Item News","Noticias del Articulo"
"Item does not exist","Articulo no existe"
"Item was successfully saved","El articulo fue guardado correctamente"
"Unable to find item to save","No se encuentra el articulo que desea guardar"
"Item was successfully deleted","El articulo fue eliminado correctamente"
"Please select item(s)","Por favor seleccione articulo (s)"
"Total of %d record(s) were successfully deleted","Total de %d registro(s) se han eliminado correctamente"
"Total of %d record(s) were successfully updated","Total de %d registro (s) se han actualizado correctamente"
"The dashboard has been saved.","El dashboard se ha guardado."
"The dashboard has been created.","Eldashboard se ha creado."
"Unable to find dashboard tab to save","Incapaz de encontrar pestana del dashboard para guardar"
"Dashboard tab was successfully delete","Tab del dashboard se elimino con exito"
"Unable to find dashboard tab to delete","El Tab del dashboard no ha sido encontrado para eliminar"
"The chart has been created.","El grafico ha sido creado."
"The chart has been saved.","El grafico se ha guardado."
"Unable to find chart to save","Incapaz de encontrar la grafico para salvar"
"Sales Report By Order","Informe de ventas Por Orden"
"No shipping","Sin envio"
"Dashboards","Dashboards"
"Enabled","Activado"
"Disabled","Deshabilitado"
"More details","Mas detalles"
"Select warehouse","Seleccione bodega"
"All warehouses","Todas las Bodegas"
"Qty","Cantidad"
"Grand Total %s","Total %s"
"Days","Dias"
"Number of Products","Numero de Productos"
"Total Qty of Products","Cantidad total de productos"
"No. of products/ total Qty. Adjusted","Numero de productos / Total cantidad Ajustada"
"Grand Total/Total Qty","Total / Total Cantidad"
"Total Qty. Sold by Bestseller","Cantidad total. Vendido por Bestseller"
"Qty. Remaining by Product","Cant. Restante por producto"
"Warehousing Time by Product","Tiempo de Almacenamiento por producto"
"Sales Report By Day of Week","Informe de Ventas Por dia de la semana"
"Sales Report By Hour of Day","Informe de Ventas por hora del dia"
"Sales Report By Invoice","Informe de Ventas Por Factura"
"Sales Report By Payment Method","Informe de Ventas Por Forma de pago"
"Sales Report By Refund","Informe de ventas Por Reembolso"
"Sales Report By Shipping Method","Informe de Ventas Por Metodo de envio"
"Sales Report By Status","Informe de ventas por estado"
"Sales Report By Tax Code","Informe de Ventas Por Codigo Tributario"
"No. of purchase orders","Numero de ordenes de compra"
"order(s)","orden (s)"
"Total Qty Purchased by Supplier: ","Cantidad total Comprada por proveedor:"
"Qty. shipped","Cant. Enviada"
"item(s)","articulo(s)"
"Number of Products Being Adjusted Qty by Warehouse: ","Numero de Productos ajustados por Bodega:"
"Item Shipped by Warehouse","Articulo enviado porBodega"
"Item Shipped by Warehouse: ","Articulo enviado porBodega:"
"Sales By Warehouse Revenue","Ganancia de Ventas por Bodega"
"Revenue By Warehouse: ","Ganancias por Bodega:"
"Total Qty. Needed Purchasing by Warehouse: ","Cantidad total a comprar necesaria por Bodega"
"Total Sales Orders by Warehouse: ","Total de ordenes de venta por Bodega:"
"Total Adjusted Qty","Total ajustado Cantidad"
"Total Adjusted Qty by Warehouse: ","Cantidad total ajustado por Bodega:"
"Total Qty. Variance by Warehouse: ","Cantidad total. Varianza por Bodega:"
"Total Qty Requested by Warehouse ","Cantidad total solicitada por Bodega"
"Total Qty Sent by Warehouse: ","Cantidad total Enviado por Bodega:"
"Warehouse Shipment","Envio desde Bodega"
"Number of Products Being Adjusted Qty","Cantidad de Productos a Ajustar"
"Revenue By Warehouse","Ganancias por Bodega"
"No. of Orders by Warehouse: ","Numero de ordenes por bodega:"
"Total Qty Sent by Warehouse:: ","Cantidad total Enviada por bodega:"
"Product","Producto"
"Total","Total"
"Warehousing Time (Days)","Tiempo Almacenamiento(dias)"
"Date","Fecha"
"Warehouse","Bodega"
"Product Adjusted","Producto Ajustado"
"Qty after Adjusting","Cantidad despues de Ajuste"
"Grand Total","Gran total"
"Total Qty","Cantidad total"
"Supplier","Proveedor"
"Total Orders","Ordenes totales"
"Total Qty Requested","Cantidad total solicitada"
"Total Value","Valor total"
"Edit chart %s","Editar grafico %s"
"Chart name","Nombre del Grafico"
"Report Type","Tipo de informe"
"Chart Type","Tipo de grafico"
"Save","Guardar"
"Cancel","Cancelar"
"Another admin are upgrade this module. Please come back after few minutes!","Otro administrador esta actualizando este modulo. Por favor vuelva en unos minutos!"
"Create new dashboard","Crear nuevo dashboard"
"Edit this dashboard","Editar este dashboard"
"Add a new chart to this dashboard","Anadir un nuevo grafico a este dashboard"
"Add New Chart","Anadir Nuevo Grafico"
"New Dashboard Information","Nueva informacion en Dashboard"
"Dashboard name","Nombre del Dashboard"
"This is a required field.","Este campo es requerido."
"Add","Anadir"
"New Chart Information","Nueva Informacion del Grafico"
"Chart Name","Nombre del grafico"
"50 characters max","50 caracteres maximo"
"Please select a group type","Por favor seleccione un grupo"
"Please select","Por favor seleccione"
"Please select an Attribute","Por favor seleccione un atributo"
"Please select a report type first.","Por favor seleccione un tipo de reporte primero"
"Edit dashboard '%s","Editar dashboard '%s"
"Dashboard Name","Nombre del Dashboard"
"Delete this dashboard","Eliminar Dashboard"
"Are you sure you want to delete this dashboard?","¿Seguro que quieres borrar este dashboard?"
"Drag and drop the chart to change its position.","Arrastre y suelte el grafico para cambiar su posicion."
"Delete chart","Eliminar grafico"
"Edit chart","Editar grafico"
"Are you sure you want to delete this chart?","¿Seguro que quieres borrar este grafico?"
