ID,ID
Name,Nombre
"Attrib. Set Name","Attrib. registrar nombre"
Status,Status
SKU,SKU
Image,Imagen
Price,Precio
"Qty Before Adjusting","Cant. Antes de Ajustar"
"Qty After Adjusting","Qty Despues de Ajustar"
CSV,CSV
XML,XML
"Adjusted Qty","Cant. Ajustada"
"Stock Adjustment Information","Informacion del Ajuste de Stock"
"Adjust Stock","Ajustar Stock"
Save,Guardar
Cancel,Cancelar
Confirm,Confirmar
"Save & Edit","Guardar y Editar"
"Adjust Qty. does not accept negative values or blank. Please enter a valid value.","Adjust Qty. does not accept negative values or blank. Please enter a valid value."
"Are you sure you want to save this stock adjustment?","Are you sure you want to save this stock adjustment?"
"Are you sure you want to confirm this stock adjustment?","Are you sure you want to confirm this stock adjustment?"
"Are you sure you want to confirm this stock receiving? Qty. of products in the system will be increased by the Qty. received instantly.","Are you sure you want to confirm this stock receiving? Qty. of products in the system will be increased by the Qty. received instantly."
"Are you sure you want to cancel this stock adjustment?","Are you sure you want to cancel this stock adjustment?"
"View Stock Adjustment No. '%s","View Stock Adjustment No. '%s"
"Add Stock Adjustment","Agregar ajuste de Stock"
"Adjustment Date","Fecha de Ajuste"
"Adjusted Warehouse","Bodega Ajustada"
Action,Accion
Edit,Editar
"Created on","Creado el"
"Created by","Creado por"
"Warehouse\'s Contact","Warehouse\'s Contact"
"Warehouse\'s Email","Warehouse\'s Email"
"Warehouse\'s Phone","Warehouse\'s Phone"
"Warehouse\'s Country","Warehouse\'s Country"
View,Ver
"Create New Adjust Stock","Crear un Nuevo Ajuste de Stock"
"Quick simple product creation","Quick simple product creation"
Autogenerate,Autogenerar
Qty,Cant
"Stock Availability","Disponibilidad de Stock"
"In Stock","En Stock"
"Out of Stock","Sin Stock"
"Select Warehouse for Product","Seleccionar Bodega para el Producto"
"Select Supplier for Product","Seleccionar Proveedor para el Producto"
"Quick Create","Creado Rapido"
"Name in %s","Nombre en %s"
Type,Tipo
"Avail. Qty","Cant. Disp."
Visibility,Visibilidad
Websites,Sitios
"Notify Low Stock RSS","Notify Low Stock RSS"
Delete,Borrar
"Are you sure?","Esta seguro?"
"Change status","Cambiar status"
"Update Attributes","Modificar Atributos"
"Import Settings","Important Configuracion"
"Entity Type","Tipo de Entidad"
"Import Behavior","Importar Comportamiento"
Warehouses,Bodegas
"Select File to Import","Seleccione archivo a importar"
"Item information","Informacion del Articulo"
Title,Titulo
File,Archivo
Content,Contenido
"Item Information","Informacion del Articulo"
"Save Item","Guardar Articulo"
"Delete Item","Borrar Articulo"
"Save And Continue Edit","Guardar y Continuar Editando"
"Edit Item '%s","Editar Articulo '%s"
"Add Item","Agregar Articulo"
"Item Content","Contenido del Articulo"
"Item Manager","Adiministrador del Articulo"
"Manage Stock Adjustments","Administrar Ajustes de Stock"
"Please tick first column on the box to edit","Please tick first column on the box to edit"
"Phys. Qty","# Física"
