"--Please Select--","--Please Select--"
"Last 7 days","Last 7 days"
"Last 30 days","Last 30 days"
"This week","This week"
"This month","This month"
"This quarter","This quarter"
"This year","This year"
Range,Range
"Next 7 days","Next 7 days"
"Next 30 days","Next 30 days"
"Order #","Order #"
"Purchased From (Store)","Purchased From (Store)"
"Purchased On","Purchased On"
"Product SKU(s)","Product SKU(s)"
"Bill to Name","Bill to Name"
"Ship to Name","Ship to Name"
"G.T. (Base)","G.T. (Base)"
"G.T. (Purchased)","G.T. (Purchased)"
Status,Status
Action,Action
View,View
"New Order RSS","New Order RSS"
CSV,CSV
"Excel XML","Excel XML"
"Sales Orders List","Sales Orders List"
"Product ID","Product ID"
Name,Name
SKU,SKU
"Total Qty","Total Qty"
"Products List","Products List"
"Created by","Created by"
Warehouse,Warehouse
Supplier,Supplier
"Qty Requested","Qty Requested"
"Qty Received","Qty Received"
Subtotal,Subtotal
XML,XML
"Purchase Orders List","Purchase Orders List"
"Total Qty in<br/> %s","Total Qty in<br/> %s"
"Total Value","Total Value"
"Purchased Qty","Purchased Qty"
"Purchased Qty<br/>per child products","Purchased Qty<br/>per child products"
"Total Order","Total Order"
#Ratio,#Ratio
Totals,Totals
"Order List","Order List"
"View Orders List","View Orders List"
"Stock History","Stock History"
"Customers Report","Customers Report"
Telephone,Telephone
Email,Email
"First Name","First Name"
"Last Name","Last Name"
"Total Orders","Total Orders"
"Grand Total","Grand Total"
_blank,_blank
"Total Transaction Qtys","Total Transaction Qtys"
Type,Type
"Total Transaction","Total Transaction"
"Total SKU","Total SKU"
"Show Product List","Show Product List"
"No shipping","No shipping"
"Base Grandtotal","Base Grandtotal"
"Sold Qty","Sold Qty"
"Sold Qty<br/>per child products","Sold Qty<br/>per child products"
"Total Order per Hour","Total Order per Hour"
"Total Qty per Hour","Total Qty per Hour"
"Grand Total per Hour","Grand Total per Hour"
"Total Order per Day","Total Order per Day"
"Total Qty per Day","Total Qty per Day"
"Grand Total per Day","Grand Total per Day"
Time,Time
"Unassigned Warehouse","Unassigned Warehouse"
"Unassigned Supplier","Unassigned Supplier"
"On-hand Qty","On-hand Qty"
"On-hand Qty<br/>per child products","On-hand Qty<br/>per child products"
"Item Shipped by Warehouse","Item Shipped by Warehouse"
"Sales By Warehouse Revenue","Sales By Warehouse Revenue"
"Total Sales Orders by Warehouse","Total Sales Orders by Warehouse"
"Total Adjusted Qty","Total Adjusted Qty"
"Number of Products Being Adjusted Qty by Warehouse","Number of Products Being Adjusted Qty by Warehouse"
"Warehouse Name","Warehouse Name"
"Total No. of Products","Total No. of Products"
"Product Name","Product Name"
Image,Image
"Qty Shipped","Qty Shipped"
"Total Qty Shipped","Total Qty Shipped"
"Total Revenue","Total Revenue"
"Product SKU","Product SKU"
"Created At","Created At"
"Qty Before Stocktake","Qty Before Stocktake"
"Qty After Stocktake","Qty After Stocktake"
"Qty Variance","Qty Variance"
"Total Qty. Needed Purchasing","Total Qty. Needed Purchasing"
"No. of Orders ","No. of Orders "
"Purchase On","Purchase On"
"Total Qty Ordered","Total Qty Ordered"
"Total Qty Refunded","Total Qty Refunded"
"Qty Request","Qty Request"
"Total Qty Requested","Total Qty Requested"
"Qty Sent","Qty Sent"
"Total Qty Sent","Total Qty Sent"
"Items Manager","Items Manager"
"Item Manager","Item Manager"
"Item News","Item News"
"Item does not exist","Item does not exist"
"Item was successfully saved","Item was successfully saved"
"Unable to find item to save","Unable to find item to save"
"Item was successfully deleted","Item was successfully deleted"
"Please select item(s)","Please select item(s)"
"Total of %d record(s) were successfully deleted","Total of %d record(s) were successfully deleted"
