"Item information","Item information"
Title,Title
File,File
Status,Status
Content,Content
"Item Information","Item Information"
"Save Item","Save Item"
"Delete Item","Delete Item"
"Save And Continue Edit","Save And Continue Edit"
"Edit Item '%s","Edit Item '%s"
"Add Item","Add Item"
ID,ID
"Item Content","Item Content"
Action,Action
Edit,Edit
CSV,CSV
XML,XML
Delete,Delete
"Are you sure?","Are you sure?"
"Change status","Change status"
"Item Manager","Item Manager"
Continue,Continue
"Stock Request Information","Stock Request Information"
Destination,Destination
"You have no permission to create stock sending","You have no permission to create stock sending"
Source,Source
"Reason(s) for requesting stock","Reason(s) for requesting stock"
Name,Name
SKU,SKU
Image,Image
"Requesting Qty","Requesting Qty"
"Total Qty in Source Warehouse","Total Qty in Source Warehouse"
"Stock Requesting Information","Stock Requesting Information"
"General Information","General Information"
"Request Stock","Request Stock"
Save,Save
"Save and View","Save and View"
Cancel,Cancel
"View Stock Request No.'%s","View Stock Request No.'%s"
"Edit Stock Request No.'%s","Edit Stock Request No.'%s"
"New Stock Request","New Stock Request"
"Destination Warehouse","Destination Warehouse"
"Qty requested","Qty requested"
"Created On","Created On"
"Created by","Created by"
Completed,Completed
Canceled,Canceled
View,View
"Manage Stock Requests","Manage Stock Requests"
"Create Stock Request","Create Stock Request"
Export,Export
"Reset Filter","Reset Filter"
Search,Search
"Total Avail. Qty in warehouse","Total Avail. Qty in warehouse"
"Total Ordered Qty in period","Total Ordered Qty in period"
"Sales Rate","Sales Rate"
"Sales Rate ","Sales Rate "
"Stock Sending Information","Stock Sending Information"
"Source Warehouse","Source Warehouse"
"You have no permission to create stock request","You have no permission to create stock request"
"Qty. Sent","Qty. Sent"
"Send Stock","Send Stock"
"Save And View","Save And View"
"Are you sure you want to create this stock sending?","Are you sure you want to create this stock sending?"
"View Stock Sending No.'%s","View Stock Sending No.'%s"
"Edit Stock Sending No.'%s","Edit Stock Sending No.'%s"
"New Stock Sending","New Stock Sending"
"Manage Stock Sending","Manage Stock Sending"
"Create Stock Sending","Create Stock Sending"
Type,Type
Sender/Recipient,Sender/Recipient
"Product Qty","Product Qty"
"Created At","Created At"
"Created By","Created By"
"Transaction Information","Transaction Information"
From,From
To,To
Reason(s),Reason(s)
Qty,Qty
Products,Products
"View Transaction '%s","View Transaction '%s"
"Items Manager","Items Manager"
"Item News","Item News"
"Item does not exist","Item does not exist"
"Item was successfully saved","Item was successfully saved"
"Unable to find item to save","Unable to find item to save"
"Item was successfully deleted","Item was successfully deleted"
"Please select item(s)","Please select item(s)"
"Total of %d record(s) were successfully deleted","Total of %d record(s) were successfully deleted"
"Total of %d record(s) were successfully updated","Total of %d record(s) were successfully updated"
Inventory,Inventory
"Stock Requesting Manager","Stock Requesting Manager"
"Stock Transfering Manager","Stock Transfering Manager"
"Stock Requesting News","Stock Requesting News"
"Stock Transfering News","Stock Transfering News"
"Request Stock News","Request Stock News"
"Requesting stock does not exist","Requesting stock does not exist"
Others,Others
"Stock request was successfully created.","Stock request was successfully created."
"Unable to save","Unable to save"
"Cancel Stock Requesting No.'%s","Cancel Stock Requesting No.'%s"
